id,numcrawled,avgCrawlingTime,avgPageSize
17752,82,1.80182,53.2975
20150,4,0.973935,20.1475
20178,2,1.38661,15.6475
20222,0,0,0
20228,0,0,0
20160,3,1.80489,55.4337
19895,13,1.88398,47.8685
20248,0,0,0
20251,0,0,0
20282,0,0,0
20284,0,0,0
20291,0,0,0
20299,0,0,0
20307,0,0,0
20311,0,0,0
20297,2,1.07577,16.1055
20317,1,0.321065,21.61
20114,24,0.699683,33.59
20333,0,0,0
20352,0,0,0
20377,0,0,0
20382,0,0,0
19670,82,0.632269,47.7103
20149,13,1.45123,23.0838
20410,0,0,0
20218,7,1.22823,22.5351
20414,1,2.14332,16.7
20068,19,1.57177,34.9635
20433,1,1.88188,2.319
20156,29,0.826875,35.7958
20350,3,3.04979,64.2553
20476,0,0,0
20487,0,0,0
20491,0,0,0
20499,0,0,0
20516,0,0,0
20518,0,0,0
20259,13,1.51891,22.5058
20407,10,0.994056,17.1507
20511,2,1.0264,39.479
20588,0,0,0
20589,0,0,0
20597,0,0,0
20614,0,0,0
20650,0,0,0
20341,51,0.403504,294.416
20544,36,0.265964,26.5681
20742,0,0,0
20783,0,0,0
20521,17,0.895762,23.7669
20485,31,0.558961,31.01
20808,0,0,0
20821,0,0,0
19663,38,2.19857,41.9589
20372,22,0.510554,27.5242
20894,0,0,0
20891,3,0.571026,32.994
20558,24,0.981055,27.5373
20917,0,0,0
20329,46,0.897272,38.4224
20789,8,1.60842,33.8269
21005,0,0,0
21028,0,0,0
21053,0,0,0
19958,25,3.1774,47.9444
20454,28,1.50318,20.2285
20912,4,1.17453,17.721
20675,73,0.412566,520.337
21108,0,0,0
20950,8,0.552175,25.1361
21144,0,0,0
21153,0,0,0
21160,0,0,0
21072,2,2.08906,9.5295
21240,0,0,0
21256,0,0,0
21283,0,0,0
21173,10,0.653883,568.777
20646,30,1.5539,465.257
21178,15,0.695527,31.3399
20981,31,0.819715,29.7575
21276,9,0.646619,517.126
21107,25,0.733888,32.1006
20940,28,1.20122,33.3433
20679,70,0.775746,48.5677
21105,38,0.652418,34.6043
21364,7,1.23497,15.205
21417,5,0.854576,1.2112
21458,5,0.674406,1.0982
21407,20,0.438925,14.7245
21515,5,0.573432,1.13
20504,51,1.44267,43.4736
21520,5,0.71484,1.1884
21522,7,0.923135,8.16686
21600,0,0,0
21559,5,0.862356,1.1732
